datasyst_user,affiliation_id,name,qh,group,flemish,country_id,country_code2,country_code3
http://lifewatch-user-analysis-2023/user/68bf8297-2688-4fc8-96b4-212170b7f44e,http://lifewatch-user-analysis-2023/affiliation/eedc2aab-2f2d-497f-ae0c-45205cbd7c40,personal,http://lifewatch.org/ns/Civil_society,http://lifewatch.org/ns/personal_interest,,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AXAA,,
http://lifewatch-user-analysis-2023/user/6c95d723-7477-4769-8749-df970ad1172c,https://marineinfo.org/id/institute/36,VLIZ Flanders Marine Institute,http://lifewatch.org/ns/Science,http://lifewatch.org/ns/Research_institute,true,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,BE,BEL
http://lifewatch-user-analysis-2023/user/2ac53c56-f118-46c9-af4f-5a1a33eff772,https://marineinfo.org/id/institute/5271,Province of Antwerp,http://lifewatch.org/ns/Policy,http://lifewatch.org/ns/Governmental_body,true,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,BE,BEL
http://lifewatch-user-analysis-2023/user/44860ea7-8ddb-4316-bbc5-9dbab6f96d37,http://lifewatch-user-analysis-2023/affiliation/d004325e-01cd-40b0-883c-cd18b41eb97e,LifeWatch BELGIUM,http://lifewatch.org/ns/Science,http://lifewatch.org/ns/Research_institute,,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,BE,BEL
http://lifewatch-user-analysis-2023/user/581721d4-f2d9-4ee3-a691-865b03be80d9,https://marineinfo.org/id/institute/471,Ghent University,http://lifewatch.org/ns/Science,http://lifewatch.org/ns/University,true,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,BE,BEL
http://lifewatch-user-analysis-2023/user/2dffb686-37bc-4167-a58b-369d63fc28c9,http://lifewatch-user-analysis-2023/affiliation/eedc2aab-2f2d-497f-ae0c-45205cbd7c40,personal,http://lifewatch.org/ns/Civil_society,http://lifewatch.org/ns/personal_interest,,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AXAA,,
http://lifewatch-user-analysis-2023/user/fd8873d2-342e-45bb-873b-c9eb1c473148,https://marineinfo.org/id/institute/1883,Royal Belgian Institute of Natural Sciences (RBINS),http://lifewatch.org/ns/Science,http://lifewatch.org/ns/Research_institute,true,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,BE,BEL
http://lifewatch-user-analysis-2023/user/37ecc8e6-2104-4bb2-9f4f-f5c6700607cc,https://marineinfo.org/id/institute/5443,INBO Research Institute for Nature and Forest,http://lifewatch.org/ns/Science,http://lifewatch.org/ns/Research_institute,true,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,BE,BEL
http://lifewatch-user-analysis-2023/user/937aca19-76cb-46ee-a53e-91347ba6a785,https://marineinfo.org/id/institute/5443,INBO Research Institute for Nature and Forest,http://lifewatch.org/ns/Science,http://lifewatch.org/ns/Research_institute,true,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,BE,BEL
http://lifewatch-user-analysis-2023/user/c7c187e0-1511-4139-bda8-a0467b6e1d5c,https://ror.org/019wvm592,Australian National University,http://lifewatch.org/ns/Science,http://lifewatch.org/ns/University,,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AAU,AU,AUS
http://lifewatch-user-analysis-2023/user/0865420e-03c6-4146-9c47-3860bb2bb5e6,https://marineinfo.org/id/institute/5442,"ILVO Flanders Research Institute for Agriculture, Fisheries and Food",http://lifewatch.org/ns/Science,http://lifewatch.org/ns/Research_institute,true,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,BE,BEL
http://lifewatch-user-analysis-2023/user/30276e69-aa4e-4aa5-b884-7af2f3d6c3c4,http://lifewatch-user-analysis-2023/affiliation/d004325e-01cd-40b0-883c-cd18b41eb97e,LifeWatch BELGIUM,http://lifewatch.org/ns/Science,http://lifewatch.org/ns/Research_institute,,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,BE,BEL
http://lifewatch-user-analysis-2023/user/76be360b-4f10-49c9-bb5e-930630c9d9a9,https://marineinfo.org/id/institute/138,VITO Vlaamse Instelling voor Technologisch Onderzoek,http://lifewatch.org/ns/Science,http://lifewatch.org/ns/Research_institute,true,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,BE,BEL
http://lifewatch-user-analysis-2023/user/cb9cf195-f69a-4adc-987a-4048cb021a8d,https://marineinfo.org/id/institute/4538,University of Antwerp,http://lifewatch.org/ns/Science,http://lifewatch.org/ns/University,true,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,BE,BEL
http://lifewatch-user-analysis-2023/user/acbab485-f637-4e8b-bde6-7c4ccabf6660,https://marineinfo.org/id/institute/1564,Belgian Biodiversity Platform (BBPf),http://lifewatch.org/ns/Science,http://lifewatch.org/ns/Data_infrastructure,true,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,BE,BEL
