raw_country,raw_institute,raw_source,identifier
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,3efdf2be-0135-4b91-b32a-d0ade240628e
be,uhasselt,2-mailinglist_lifewatch.be_users_2023-11-07,7a20a4f2-1fde-4e39-997c-185a358c1719
be,ilvovlaanderen,2-mailinglist_lifewatch.be_users_2023-11-07,4f44c72f-c50a-40dd-bbfd-1901d5b077ab
se,slu,2-mailinglist_lifewatch.be_users_2023-11-07,e84b0480-670f-4dfc-add2-691ec2465889
be,plantentuinmeise,2-mailinglist_lifewatch.be_users_2023-11-07,20d8a4b4-e235-43e6-818c-1066f38033e0
be,belspo,2-mailinglist_lifewatch.be_users_2023-11-07,adf8a335-1691-47d0-ae6e-544da322929c
com,gmail,2-mailinglist_lifewatch.be_users_2023-11-07,62da406a-591c-4ff8-a24b-973d2249974b
be,uantwerpen,2-mailinglist_lifewatch.be_users_2023-11-07,f4908058-1578-4dfc-9af9-718ef54c1307
be,oost-vlaanderen,2-mailinglist_lifewatch.be_users_2023-11-07,3d9b50c4-11ef-49cf-9368-286347ead7a9
be,uclouvain,2-mailinglist_lifewatch.be_users_2023-11-07,7ce3269f-74fb-4325-80be-d7b1640dd2d0
be,vito,2-mailinglist_lifewatch.be_users_2023-11-07,a7fd5004-9d81-44fc-948c-0ed65d2c1b57
org,unesco,2-mailinglist_lifewatch.be_users_2023-11-07,2ed559a8-4730-4f36-8868-bd42bea902fd
com,gmail,2-mailinglist_lifewatch.be_users_2023-11-07,1c7e97c4-81df-4c59-9f71-04ddb13580f3
org,cetaf,2-mailinglist_lifewatch.be_users_2023-11-07,e3267c8a-0e37-447c-a2eb-6624d1d3a619
be,ewivlaanderen,2-mailinglist_lifewatch.be_users_2023-11-07,6bdb9376-0b26-4d5c-877f-c946a79aee8d
org,unesco,2-mailinglist_lifewatch.be_users_2023-11-07,cb49c7b8-03fc-478b-81dd-f6cc824c9bec
be,ulbac,2-mailinglist_lifewatch.be_users_2023-11-07,b035dc0c-f722-4744-b5d6-7678a22bd797
uk,sheffieldac,2-mailinglist_lifewatch.be_users_2023-11-07,a65a9408-3f23-42ca-8471-f8bca3cf0780
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,72b59bb6-1731-4987-a6e1-846ba155fe91
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,08672f11-5778-4487-89b8-44f59bfdb79d
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,93999a18-02ce-47d6-8d44-6c6191c5d84e
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,60a1fe5d-b580-4156-be69-48abdc3abc81
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,a8bf5506-df87-4251-9aa0-af2c961b1f8d
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,425084fa-37b0-4562-83ec-b06e47d77f22
com,Lotek,2-mailinglist_lifewatch.be_users_2023-11-07,d5ea2dd0-7375-472a-b4b9-e1893fd5cd3e
be,uclouvain,2-mailinglist_lifewatch.be_users_2023-11-07,507d77fb-fc57-4cb4-be8f-d7139279fc2d
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,3c3f01c7-5091-40ba-91a7-601daa89669f
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,9ee41764-b711-49f6-b09f-05c1a271f866
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,d08c663e-29c8-4456-86aa-c88510ce4e42
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,d0767228-48b5-4a14-83d4-8ae7dbface2b
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,8c99fbbb-0309-453e-8c9c-5a18f327a3a1
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,a0fa8b8e-1c43-43a0-a884-fada90f72d2b
be,cfwb,2-mailinglist_lifewatch.be_users_2023-11-07,14240d7f-0a9f-483f-ac4a-eb7a1d612939
be,spwwallonie,2-mailinglist_lifewatch.be_users_2023-11-07,e0679ca0-a6e8-4883-98d1-05a8549850b9
be,wwf,2-mailinglist_lifewatch.be_users_2023-11-07,6d8b5898-40c1-4999-98dc-8ab9af8d63db
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,618e5108-914a-4cd0-82c9-e7f4cec39797
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,aaec8506-8409-4aa4-b7e1-fbe76d9e0e7d
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,3785f2ac-c1ba-4276-ac7c-0128bd3b30c2
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,81457d1e-9ec7-4239-a605-141054f0aa51
be,vlaanderen,2-mailinglist_lifewatch.be_users_2023-11-07,4dcadcc7-9fc3-451d-abe1-1152f5acc6db
com,gmail,2-mailinglist_lifewatch.be_users_2023-11-07,b9b3159b-8c12-4d7c-a21e-ff0fdbd63d03
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,753aa35b-99ef-447d-991d-49b0853761c9
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,9e254754-fd26-4dae-82e7-b9c3d0d293a9
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,c56f5e2e-13e2-4566-ac3a-6aaa06112110
be,inbo,2-mailinglist_lifewatch.be_users_2023-11-07,5ace507d-9613-4867-94e9-0113e7bb49d0
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,2b275e98-49ba-4241-a3a6-48a7758b6773
be,Uantwerpen,2-mailinglist_lifewatch.be_users_2023-11-07,c472abcd-b7fb-4047-9e95-927d20d2506c
be,kuleuven,2-mailinglist_lifewatch.be_users_2023-11-07,8e4eca1c-8579-4bbb-bc54-db32193d4ae7
be,aves,2-mailinglist_lifewatch.be_users_2023-11-07,c01228ca-28a3-4306-8fbf-338d656303c4
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,3ee10e18-8423-452f-ae2e-959d99ce6d84
eu,lifewatch,2-mailinglist_lifewatch.be_users_2023-11-07,93dec90d-7d9e-4381-8149-1d4ea8c0a22f
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,4266bb09-9e97-4845-9bda-db6890a9f0d8
eu,emodnet,2-mailinglist_lifewatch.be_users_2023-11-07,8aa3ff29-e655-45f3-80d7-4fb875774ed3
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,a5aa3652-0faa-4bdd-9ac2-c63954e76d4b
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,38335cc9-8669-446a-a8c3-433320e09edb
be,naturalsciences,2-mailinglist_lifewatch.be_users_2023-11-07,c30e74f7-d7fe-4798-84e1-f38b8b01f1c4
be,uantwerpen,2-mailinglist_lifewatch.be_users_2023-11-07,6c7efbc8-08c2-4805-abc5-7e6bd3fb516e
be,ugent,2-mailinglist_lifewatch.be_users_2023-11-07,aea64d94-c3b1-4682-9568-9f10f0402788
be,mil,2-mailinglist_lifewatch.be_users_2023-11-07,503fd8ee-f74a-44d1-9fc0-20f381aa739b
be,mil,2-mailinglist_lifewatch.be_users_2023-11-07,87578062-548a-419f-964c-af13074ca74f
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,65366448-d425-40c7-99f5-1426f1ca24e5
be,vliz,2-mailinglist_lifewatch.be_users_2023-11-07,5f4f49ca-ea0b-4a3d-81e4-5a06ea0354ad
gr,vetauth,2-mailinglist_lifewatch.be_users_2023-11-07,ba5d4cee-ee30-4a94-bf30-ddf788778471
gr,vetauth,2-mailinglist_lifewatch.be_users_2023-11-07,9d0ebb26-04fb-48c1-bf57-cfa3bdaa7928
