raw_country,raw_institute,raw_source,identifier
es,ehu,3-users_lifewatch_by_group_kpi_2023-11-07,b82184df-8d93-47bd-91fe-08f3e96094e0
fr,mnhn,3-users_lifewatch_by_group_kpi_2023-11-07,1b983ab9-ca7e-4076-953a-f849add2dca2
uk,artooco,3-users_lifewatch_by_group_kpi_2023-11-07,6f79e2e0-07f4-4a52-9e53-ecd36b53324b
es,imedeauib-csic,3-users_lifewatch_by_group_kpi_2023-11-07,2f890b59-ab28-4837-b646-6079faf4513c
de,uni-hamburg,3-users_lifewatch_by_group_kpi_2023-11-07,d62622c5-b670-455a-857b-9a6581d113fc
se,nrm,3-users_lifewatch_by_group_kpi_2023-11-07,435f93bf-4d8f-4cc8-bb2b-395ae0d57af5
com,aol,3-users_lifewatch_by_group_kpi_2023-11-07,3e33672c-a61f-4990-bb9c-1ac179790a79
ee,zbi,3-users_lifewatch_by_group_kpi_2023-11-07,662e84b7-ffa9-4f26-9a6e-a6fcf58de104
dk,snmku,3-users_lifewatch_by_group_kpi_2023-11-07,581abfa6-da55-40bb-bf6b-6768ed7f00ba
ie,ecoserve,3-users_lifewatch_by_group_kpi_2023-11-07,8335db67-241b-45a6-8e15-589337d16806
be,ilvovlaanderen,3-users_lifewatch_by_group_kpi_2023-11-07,4bb7ac9c-b3e3-4f84-b9bd-49304cca44a9
es,usc,3-users_lifewatch_by_group_kpi_2023-11-07,bd58b60d-93fd-48b4-abad-b372fb0def9d
nl,naturalis,3-users_lifewatch_by_group_kpi_2023-11-07,d4440213-44ea-471d-bfb0-190780d53b50
no,nhmuio,3-users_lifewatch_by_group_kpi_2023-11-07,9d9b9bce-225b-45b7-8869-3e93cbf9207c
dk,snmku,3-users_lifewatch_by_group_kpi_2023-11-07,a097f051-8770-434e-9ddf-31cbea0c4f8a
uk,mbaac,3-users_lifewatch_by_group_kpi_2023-11-07,ee971e95-a47e-4f39-af51-8ade8abe5bff
net,clara,3-users_lifewatch_by_group_kpi_2023-11-07,7bd4ef68-4d46-4f5f-9817-418e4dbc8375
be,uhasselt,3-users_lifewatch_by_group_kpi_2023-11-07,00d887b6-ef60-4b1f-9446-1f3ec4b68992
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,a8cee55b-616c-4abf-a5e6-0973a1eeb853
be,ugent,3-users_lifewatch_by_group_kpi_2023-11-07,a8f272f4-7535-47fc-8260-6cfe1a2db4cb
fi,utu,3-users_lifewatch_by_group_kpi_2023-11-07,e6c33324-0919-45d4-b56b-9a65647abe33
com,hotmail,3-users_lifewatch_by_group_kpi_2023-11-07,057e439b-23b6-42d4-8021-b935173ff784
edu,si,3-users_lifewatch_by_group_kpi_2023-11-07,0760523b-27f4-47b3-962f-62a04c494488
edu,ucsc,3-users_lifewatch_by_group_kpi_2023-11-07,be0017df-0d10-4508-97f8-cc4c72d079b8
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,3954ab86-ff8c-4c42-bf04-eede03e19f00
be,vliz,3-users_lifewatch_by_group_kpi_2023-11-07,482fd864-230d-49a4-821a-7165a94298df
au,geoluwaedu,3-users_lifewatch_by_group_kpi_2023-11-07,e2978d27-0ac0-46d4-9ca3-f1cf3e084e9b
