source,raw_institute,user_identifier,stand_institute,Unnamed: 0.1,Unnamed: 0,country_alpha2,country_alpha3,country_official_name,country_url,flemish,group,qh,MarineInfo_ID,ROR_ID,local_ID
4-datarequest_users_2023_11_07,vliz,4-datarequest_users_2023_11_07_d9814ad6-ebf0-49d3-9a65-902a7422f134,VLIZ Flanders Marine Institute,273.0,273.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,Research institute,Science,https://marineinfo.org/id/institute/36,https://ror.org/0496vr396,29b5daf6-c18b-4149-8570-1577dba33ecc
4-datarequest_users_2023_11_07,uantwerpen,4-datarequest_users_2023_11_07_87cbca2e-ceb5-4089-9d1b-5897ec5e194b,University of Antwerp,256.0,256.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,University,Science,https://marineinfo.org/id/institute/4538,https://ror.org/008x57b05,4ccd6431-49b9-4f39-9e03-eb27c0a16da9
4-datarequest_users_2023_11_07,ugent,4-datarequest_users_2023_11_07_661a38fa-b796-46c0-aee5-bdc0536d7d59,Ghent University,185.0,185.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,University,Science,https://marineinfo.org/id/institute/471,https://ror.org/00cv9y106,374a6417-a31b-4ecd-a76d-9038141692c4
4-datarequest_users_2023_11_07,Ca Foscari university venice,4-datarequest_users_2023_11_07_c4b9830b-5062-49fc-990d-cc13c756af30,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,student,4-datarequest_users_2023_11_07_5ac4e352-4911-4d23-8552-10ee94b756d2,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,ugent,4-datarequest_users_2023_11_07_04f6e1c4-69ea-4bad-9f5c-f119e5f60de4,Ghent University,185.0,185.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,University,Science,https://marineinfo.org/id/institute/471,https://ror.org/00cv9y106,374a6417-a31b-4ecd-a76d-9038141692c4
4-datarequest_users_2023_11_07,Universidad Complutense de Madrid,4-datarequest_users_2023_11_07_33f72da4-ca1f-4d40-b65e-9fc2466fc981,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,Museu de Historia Natural do Funchal,4-datarequest_users_2023_11_07_72e1220f-a02c-4518-8b35-c356691f8341,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,unesco,4-datarequest_users_2023_11_07_d51aa7c0-1197-4d3f-ba8d-f81a23bb6879,UNESCO,,,,,,,,,,,,
4-datarequest_users_2023_11_07,Belgian Navy,4-datarequest_users_2023_11_07_c095e505-1be0-40da-b224-2e45af5d6589,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,ugent,4-datarequest_users_2023_11_07_df316752-7f56-4560-b932-bdba3631cbe9,Ghent University,185.0,185.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,University,Science,https://marineinfo.org/id/institute/471,https://ror.org/00cv9y106,374a6417-a31b-4ecd-a76d-9038141692c4
4-datarequest_users_2023_11_07,defensie,4-datarequest_users_2023_11_07_8aa38f00-2e2a-404b-be9c-40d0b3d9c15c,Defensie,162.0,162.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,o,Defence,Policy,https://marineinfo.org/id/institute/14103,-,cbeba779-9b5b-4926-ad96-bb35d31aa02d
4-datarequest_users_2023_11_07,kuleuven,4-datarequest_users_2023_11_07_bf138cb4-392e-4538-95c9-4f097d65d041,Catholique University of Louvain,156.0,156.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,University,Science,https://marineinfo.org/id/institute/12102,https://ror.org/02495e989,542adfb9-ff95-4fd1-a8c4-abb652bec903
4-datarequest_users_2023_11_07,student imbrsea,4-datarequest_users_2023_11_07_d6a2e82e-2bca-4b22-87e6-97f56b7a9d7c,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,personal,4-datarequest_users_2023_11_07_048bb5a8-2a78-484f-932b-c5561ca5ad60,personal,2518.0,2518.0,,,,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AXAA,,personal interest,Civil society,-,-,eedc2aab-2f2d-497f-ae0c-45205cbd7c40
4-datarequest_users_2023_11_07,vliz,4-datarequest_users_2023_11_07_7c522efb-907d-4122-ab56-08ad91522eb3,VLIZ Flanders Marine Institute,273.0,273.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,Research institute,Science,https://marineinfo.org/id/institute/36,https://ror.org/0496vr396,29b5daf6-c18b-4149-8570-1577dba33ecc
4-datarequest_users_2023_11_07,HoGent (Agro- en Biotechnologie),4-datarequest_users_2023_11_07_d4ce8eb3-f357-4d0a-81ea-2773f30e5a51,,,,,,,,,,,,,
